Date,ADBE,ADM,AMAT,EOG,JNJ,KO,MSFT,NEM,NVDA
2015-01-02,72.33999633789062,37.38166809082031,21.737470626831055,66.83211517333984,76.54859924316406,29.58002471923828,39.76767349243164,15.070816993713379,0.48298531770706177
2015-01-05,71.9800033569336,36.08817672729492,21.040756225585938,62.803653717041016,76.01397705078125,29.58002471923828,39.40198516845703,15.164324760437012,0.47482749819755554
2015-01-06,70.52999877929688,35.376766204833984,20.24822998046875,61.01398468017578,75.6404800415039,29.80463981628418,38.82367706298828,15.795524597167969,0.46043163537979126
2015-01-07,71.11000061035156,35.908531188964844,20.439838409423828,60.62998580932617,77.31028747558594,30.176668167114258,39.316951751708984,15.655261039733887,0.4592319428920746
2015-01-08,72.91999816894531,35.38395309448242,21.093002319335938,62.948551177978516,77.91816711425781,30.54168128967285,40.47357940673828,15.569544792175293,0.4765070378780365
2015-01-09,71.83999633789062,35.082149505615234,21.11042594909668,63.36876678466797,76.8562240600586,30.204740524291992,40.13339614868164,16.146188735961914,0.47842660546302795
2015-01-12,71.12000274658203,34.643798828125,20.605308532714844,61.231361389160156,76.59253692626953,29.930994033813477,39.63161849975586,16.512435913085938,0.47242820262908936
2015-01-13,70.58999633789062,34.694091796875,20.31791114807129,61.62984848022461,76.72438049316406,29.923965454101562,39.42750930786133,15.865663528442383,0.47170841693878174
2015-01-14,69.98999786376953,34.09765625,20.04793930053711,63.69747543334961,76.16775512695312,29.87483024597168,39.08731460571289,15.398102760314941,0.4736279249191284
2015-01-15,70.29000091552734,33.9251823425293,20.31791114807129,62.81901550292969,75.06188201904297,29.74848175048828,38.6790885925293,16.76180648803711,0.4702688753604889
2015-01-16,71.7300033569336,34.26293182373047,20.439838409423828,65.5632095336914,76.19707489013672,29.853775024414062,39.32544708251953,17.3696231842041,0.47890642285346985
2015-01-20,71.48999786376953,33.91799545288086,20.579179763793945,64.85175323486328,74.18302154541016,30.296001434326172,39.453033447265625,18.3670711517334,0.48034605383872986
2015-01-21,71.54000091552734,34.277305603027344,21.180099487304688,65.73017883300781,74.6297836303711,30.436391830444336,39.053287506103516,18.951515197753906,0.48706409335136414
2015-01-22,73.4800033569336,34.55036926269531,21.44137191772461,65.5995101928711,75.99201965332031,30.731197357177734,40.082359313964844,18.928129196166992,0.4954617917537689
2015-01-23,74.05999755859375,34.399471282958984,20.997201919555664,65.91170501708984,74.84950256347656,30.40129280090332,40.124881744384766,18.81903648376465,0.4969014525413513
2015-01-26,72.73999786376953,34.70127487182617,21.11042594909668,67.02970123291016,74.8934555053711,30.183687210083008,39.98030090332031,19.083988189697266,0.49474215507507324
2015-01-27,71.45999908447266,34.694091796875,20.526926040649414,67.51609802246094,74.76893615722656,29.755504608154297,36.28078079223633,19.59050941467285,0.47098857164382935
2015-01-28,70.25,34.126407623291016,20.361452102661133,63.958805084228516,74.32218170166016,29.42558479309082,35.03059387207031,18.904762268066406,0.46331074833869934
2015-01-29,71.63999938964844,34.435394287109375,20.57046890258789,64.5468521118164,74.98133087158203,29.551925659179688,35.727970123291016,18.834623336791992,0.474587619304657
2015-01-30,70.12999725341797,33.50840377807617,19.89117431640625,64.63398742675781,73.34081268310547,28.899124145507812,34.35874938964844,19.598297119140625,0.46067142486572266
2015-02-02,71.11000061035156,34.61504364013672,19.90859031677246,67.16764068603516,73.84611511230469,29.193939208984375,35.10713195800781,19.56713104248047,0.4707487225532532
2015-02-03,71.91999816894531,35.039024353027344,20.422420501708984,69.91910552978516,75.0398941040039,29.222017288208008,35.37928771972656,19.185293197631836,0.4825053811073303
2015-02-04,72.27999877929688,33.16347122192383,20.57046890258789,69.10601043701172,74.23430633544922,29.257112503051758,35.58339309692383,19.341144561767578,0.4837050437927246
2015-02-05,73.0999984741211,34.981529235839844,20.866575241088867,69.83196258544922,75.0398941040039,29.334341049194336,36.10218811035156,19.341144561767578,0.49162301421165466
2015-02-06,72.54000091552734,34.17670440673828,21.11042594909668,69.54158020019531,74.04387664794922,29.09566879272461,36.068180084228516,18.74110984802246,0.48946353793144226
2015-02-09,72.33000183105469,34.04734802246094,20.474672317504883,69.6577377319336,73.07715606689453,28.941246032714844,36.02565383911133,19.177492141723633,0.4889836013317108
2015-02-10,72.76000213623047,34.191078186035156,21.145259857177734,69.15680694580078,73.49456787109375,29.762521743774414,36.22975158691406,19.02164649963379,0.5026595592498779
2015-02-11,73.01000213623047,33.71678924560547,21.12784194946289,67.66131591796875,73.51654815673828,29.741458892822266,36.04267501831055,18.811248779296875,0.4993005692958832
2015-02-12,74.58999633789062,34.29512405395508,21.02333641052246,68.82289123535156,72.09574890136719,29.601076126098633,36.6464729309082,19.09957504272461,0.5350505113601685
2015-02-13,76.51000213623047,34.77225112915039,21.093297958374023,70.36192321777344,72.9599380493164,29.474729537963867,37.30983352661133,19.30997085571289,0.5352908372879028
2015-02-17,77.12999725341797,34.53369140625,21.102039337158203,70.0497817993164,73.56050109863281,29.348377227783203,37.32699203491211,18.8502140045166,0.5369701981544495
2015-02-18,77.7300033569336,34.49031448364258,21.0757999420166,69.193115234375,73.20894622802734,29.292221069335938,37.284156799316406,19.278806686401367,0.5307319164276123
2015-02-19,77.7300033569336,34.54091262817383,21.801652908325195,68.09689331054688,73.75092315673828,29.55894660949707,37.25845718383789,19.060606002807617,0.5321716070175171
2015-02-20,78.55000305175781,34.808406829833984,21.9765567779541,66.12224578857422,73.94268035888672,29.460689544677734,37.566795349121094,19.933378219604492,0.5360105037689209
2015-02-23,78.0999984741211,34.88792037963867,21.784162521362305,66.73929595947266,73.88365936279297,29.37645721435547,37.815189361572266,20.2294921875,0.5316917896270752
2015-02-24,77.68000030517578,35.169857025146484,22.17770004272461,66.50699615478516,74.26715087890625,29.572998046875,37.76381301879883,20.11260223388672,0.5373518466949463
2015-02-25,78.06999969482422,34.77225112915039,21.9503231048584,67.53785705566406,74.64329528808594,29.516836166381836,37.67816162109375,20.299625396728516,0.5332571864128113
